"附件",,
"深圳海关进出口商品规范申报目录（2009年第三季度）",,
"商品编码","商品描述","申报要求"
8503009090.0,"专用于或主要用于税目85.01或85.02所列机器的其他电动机、发电机（组）零件","品名；用途（适用机型）"
8504401300.0,"品目84.71所列机器用的稳压电源","品名；用途；品牌；功能；型号；功率；精度；直流还是交流；输出电压"
8504401400.0,"功率＜1千瓦其他直流稳压电源","品名；用途；品牌；功能；型号；功率；精度；输入/输出电流类型"
8504409109.0,"其他具有变流功能的半导体模块","品名；用途；品牌；功能；型号；功率；精度；输入/输出电流类型(企业是否能够报明精度有待确定\该税号没有要求申报精度)"
8504409900.0,"未列名静止式变流器","品名；用途；品牌；功能；型号；功率；精度；输入/输出电流类型(企业是否能够报明精度有待确定\该税号没有要求申报精度)"
8504409940.0,"频率变换器,亦称变频器或逆变器","品名；用途；品牌；功能；型号；功率；精度；输入/输出电流类型（频率范围；谐波畸变范围）(企业是否能够报明精度有待确定\该税号没有要求申报精度)"
8504409990.0,"其他未列名静止式变流器","品名；用途；品牌；功能；型号；功率；精度；输入/输出电流类型(企业是否能够报明精度有待确定\该税号没有要求申报精度)"
8504500000.0,"其他电感器","品名；品牌；用途；型号；结构组成"
8507802000.0,"锂离子蓄电池","品名；用途；品牌；材质；型号；容量；是否含汞；额定电压"
8509409000.0,"家用搅拌机","品名；用途；品牌；型号；功率；机重；功能"
8515219000.0,"其他全自动或半自动电阻焊接机器","品名；品牌；原理；自动化程度；型号"
8517121090.0,"其他手持式无线电话机","品名；用途；功能；品牌；型号；是否加密"
8517122000.0,"对讲机","品名；用途；功能；品牌；型号；是否加密"
8517623200.0,"非光通讯以太网络交换机","品名；用途；品牌；通讯方式；型号；结构组成；是否加密"
8517623210.0,"非光通讯以太网络交换机","品名；用途；品牌；通讯方式；型号；结构组成；是否加密"
8517623600.0,"路由器","品名；用途；品牌；通讯方式；型号；结构组成；是否加密"
8517623700.0,"有线网络接口卡","品名；用途；品牌；通讯方式；型号；结构组成；是否加密"
8517623900.0,"其他有线数字通信设备","品名；用途；品牌；通讯方式；型号；结构组成；是否加密"
8517703000.0,"手持式无线电话机用零件","品名；用途（适用机型）；外观结构；具体功能"
8517706000.0,"光通信设备的激光收发模块","品名；用途（适用机型）；外观结构；具体功能；工作原理"
8517709000.0,"编号8517所列其他通信设备零件","品名；用途（适用机型）；外观结构；具体功能"
8522903901.0,"激光视盘机的激光收发装置（激光头）","品名；用途（适用机型）；是否为“蓝光”"
8523402000.0,"用于重放声音、图像以外信息的光学媒体","品名；用途；品牌；是否录制；型号；录制内容类型；容量"
8523511000.0,"未录制的固态非易失性存储器件(闪速存储器","品名；用途；品牌；是否录制；型号；类型；容量"
8525801301.0,"手机用摄像组件","品名；用途；品牌；原理；功能；型号；结构"
8525802900.0,"非特种用途的其他数字照相机","品名；用途；品牌；原理；功能；型号；类型"
8526911000.0,"机动车辆用无线电导航设备","品名；用途；品牌；原理；型号；是否含其他功能"
8528511000.0,"专用或主要用于税目84.71商品的液晶监视器","品名；用途；品牌；显示原理；显示屏幕尺寸；型号；接口数量及类型(包括接口电路)；屏幕类型（平面直角；柱面；纯平）；分辨率；可接收的信号类型；对比度；响应时间；可视角度；宽屏或普屏；有无自带摄像头；有无内置音箱；有无USB接口；有无防盗功能；是否可调整底座等功能；是否带背光源"
8528591000.0,"其他彩色的监视器","品名；用途；品牌；显示原理；显示屏幕尺寸；型号；接口数量及类型（包括接口电路）"
8529904900.0,"摄像机、摄录一体机、数码相机的其他零件","品名；用途（适用机型）；品牌；规格型号；外观结构；具体功能"
8529906000.0,"无线电收音机及其组合机用的零件","品名；用途（适用机型及是否用于有收音功能的机型）；品牌；规格型号；外观结构；具体功能"
8529908200.0,"等离子显象组件及其零件","品名；用途（适用机型）；品牌；规格型号；外观结构；具体功能"
8534001000.0,"四层以上的印刷电路","品名；品牌；电路层数；规格型号；加工工艺；材质；是否含有元件"
8534009000.0,"四层及以下的印刷电路","品名；品牌；电路层数；规格型号；加工工艺；材质；是否含有元件"
8536410000.0,"电压≤60伏的继电器","品名；用途；品牌；型号；额定电压"
8536500000.0,"电压≤1000伏的其他开关","品名；用途；品牌；型号；额定电压；是否有多个开关；是否带电线（电缆）及插座"
8536690000.0,"电压≤1000伏的插头及插座","品名；用途；品牌；型号；额定电压；是否有多个插座；是否带电线（电缆）及开关"
8536900000.0,"其他≤1000伏电路开关等电气装置","品名；用途；品牌；型号；额定电压；是否有多个开关；是否带电线（电缆）及插座"
8537101901.0,"机床用其他数控装置","品名；用途；品牌；原理；型号；额定电压"
8537109090.0,"其他电力控制或分配的装置","品名；用途；品牌；原理；型号；额定电压；是否数控；内含装置品名和个数"
8538900000.0,"编号8535,8536,8537装置的零件","品名；用途（适用机型）；品牌；规格型号；外观结构；具体功能"
8539213000.0,"汽车用卤钨灯等","品名；用途；品牌；类型；型号；功率"
8543209010.0,"高速脉冲发生器","品名；用途；品牌；功能；型号；具体频率范围；脉冲上升时间"
8543209090.0,"其他≥1500兆赫兹的通用信号发生器","品名；用途；品牌；功能；型号；具体频率范围；脉冲上升时间"
8543709990.0,"其他未列名的具有独立功能的电气设备及装","品名；用途；品牌；功能；型号；原理"
8547200000.0,"电气机器、器具或设备用的塑料制绝缘零件","品名；用途；品牌；材质；型号"
9001200000.0,"偏振材料制的片及板","品名；品牌；用途；材质；形状(片；板等)；规格型号"
9001200001.0,"液晶显示板用偏振材料制的片及板","品名；品牌；用途；材质；形状(片；板等)；规格型号"
9001200090.0,"非液晶显示板片用的偏振材料制的片及板","品名；品牌；用途；材质；形状(片；板等)；规格型号"
9001909090.0,"编号9001未列名的其他光学元件","品名；用途(适用机型)；品牌；材质；规格型号；技术参数"
9002199090.0,"编号9002未列名的其他物镜","品名；用途(适用机型)；品牌；已装配请注明；规格型号；技术参数"
9004100000.0,"太阳镜","品名；用途；品牌；类型；型号"
9006699000.0,"其他照相闪光灯装置","品名；用途；品牌；原理；型号"
9013200000.0,"激光器，激光二极管除外","品名；用途；品牌；原理；功能；型号；技术参数；结构"
9013200001.0,"2.5GB/S及以上SDH、波分复用光传输设备980","品名；用途；品牌；原理；功能；型号；技术参数；结构"
9013200090.0,"其他激光器","品名；用途；品牌；原理；功能；型号；技术参数；结构"
9013803000.0,"液晶显示板","品名；用途；品牌；原理；功能；结构（是否带背光模组；解码电路等）；规格型号；电路类型；尺寸(对角线英寸)；液晶类型；是否彩色；是否含有视频接口；是否带有驱动线路板/显示控制板/高频头板/解码器/背光模组等"
9013803001.0,"26英寸及以上不含背光模组的液晶显示板","品名；用途；品牌；原理；功能；结构（是否带背光模组；解码电路等）；规格型号；电路类型；尺寸(对角线英寸)；液晶类型；是否彩色；是否含有视频接口；是否带有驱动线路板/显示控制板/高频头板/解码器/背光模组等"
9013803090.0,"26英寸以下不含背光模组的液晶显示板","品名；用途；品牌；原理；功能；结构（是否带背光模组；解码电路等）；规格型号；电路类型；尺寸(对角线英寸)；液晶类型；是否彩色；是否含有视频接口；是否带有驱动线路板/显示控制板/高频头板/解码器/背光模组等"
9013909000.0,"税号9013.1000及9013.2000所列货品用的其他零件、附件","品名；用途（适用机型）；品牌；规格型号"
9015800090.0,"其他仪器及装置","品名；用途；品牌；功能；型号；技术参数"
9015900090.0,"其他大地测量仪及装置的零件、附件","品名；用途（适用机型）；品牌；规格型号"
9018129100.0,"彩色超声波诊断仪","品名；用途；品牌；原理；型号；探头数量"
9018130000.0,"核磁共振成像装置","品名；用途；品牌；原理；型号"
9022300000.0,"X射线管","品名；用途；品牌；原理；功能；型号"
9026900000.0,"液体或气体的测量或检验仪器零件","品名；用途；品牌；原理；功能；型号；技术参数  "
9027809900.0,"其他理化分析仪器及装置","品名；品牌；原理；功能；检测对象；型号；技术参数"
9030409000.0,"其他无线电通讯专用的仪器及装置","品名；用途；品牌；原理；功能；检测对象；型号；技术参数"
9030900000.0,"9030所列仪器和装置的零件及附件","品名；用途（适用机型）；品牌；规格型号"
9031499090.0,"其他光学测量或检验仪器和器具","品名；用途；品牌；原理；功能；检测对象；型号；技术参数"
9031809090.0,"其他测量,检验仪器,器具及机器","品名；用途；品牌；原理；功能；检测对象；型号；技术参数"
9031900090.0,"编号9031的仪器及器具的其他零件","品名；用途（适用机型）；品牌；规格型号"
9032890090.0,"其他自动调节或控制仪器及装置","品名；用途；品牌；原理；功能；规格型号；技术参数 "
