"附件",,
"深圳海关进出口商品规范申报目录（2009年第三季度）",,
"商品编码","商品描述","申报要求"
6310900010.0,"新的或未使用过的纺织材料制其他碎织物（新的或未使用过的；包括废线、绳、索、缆及其制品）","品名；状态（是否经分拣）；状态（新；旧）；成分含量"
6403990090.0,"其他皮革制面的其他鞋靴","品名；款式（高统等）；品牌；型号；鞋面材料；鞋底材料                                                                                                                            "
6406202000.0,"塑料制的外底及鞋跟","品名；品牌；材质；加工程度（是否已成型）；型号/货号"
9102110000.0,"机械指示式的其他电子手表","品名；品牌；型号；规格；外壳材质；驱动方式；指针方式；是否镶钻；男/女装"
9102210090.0,"其他自动上弦的机械手表","品名；品牌；型号；规格；外壳材质；驱动方式；指针方式；是否镶钻；男/女装"
9402900000.0,"空气射流悬浮床。该商品由高压室、热量切断器、鼓风机、空气热交换器、水热交换器、空气过滤器等组成。流体的实质为微小颗粒；由陶瓷粉、硅胶、碳酸钙粉组成的颗粒充满流动舱；当经过过滤、加热后的压缩空气进入流动舱后；微颗粒便产生管状的自下而上的单一方向气泡流动效果；从而达到悬浮、按摩病人的作用；并吸附病人的渗出液；吸附后的微颗粒；由于重力的原因而沉降至流动舱底；如此循环反复。","品名；品牌；型号；具体用途；注明配置及附属装置；注明有无医疗装置"
9403200000.0,"铁制物架","品名；用途；材质；品牌；是否落地；规格；型号/货号；生产厂家"
9403509900.0,"木柜","品名；用途；材质；品牌；是否落地；规格；型号/货号；生产厂家"
9405990000.0,"LED光源。该商品是将6颗发光二极管的芯片在具有电路设计的硅片上进行布线集成封装；该硅片上进行布线设计完成集成后再予以荧光材料和胶体或玻璃的一次光学成型于其上；具有高效节能和最低热阻的特点。进口后需搭配使用特制驱动电路板才能发光。","品名；材质；品牌；型号；规格；用途；带几个芯片"
9506590000.0,"其他网球拍、羽毛球拍或类似球拍","品牌；规格；型号；材质；是否上弦；是否配袋子"
9607200000.0,"拉链零件","品名；品牌；型号；材质说明"
2515120000.0,"矩形大理石及石灰华","品名；用途；加工方法；外观；表观比重；面积数量；级别"
2601111000.0,"未烧结铁矿砂及其精矿","品名；品种；外观；加工方法（如：否烧结）；平均粒度；成分含量；签约时间；是否为公式定价；公式定价备案编号；用途"
2601112000.0,"未烧结铁矿砂及其精矿","品名；品种；外观；加工方法（如：否烧结）；平均粒度；成分含量；签约时间；是否为公式定价；公式定价备案编号；用途"
2601119000.0,"其他未烧结铁矿砂及其精矿","品名；品种；外观；加工方法（如：否烧结）；平均粒度；成分含量；签约时间；是否为公式定价；公式定价备案编号；用途"
2601120000.0,"已烧结铁矿砂及其精矿","品名；品种；外观；加工方法（如：否烧结）；平均粒度；成分含量；签约时间；是否为公式定价；公式定价备案编号；用途"
2701129000.0,"其他烟煤","品名；外观；挥发物含量；热值；等级；灰分"
2709000000.0,"石油原油","品名；种类；凝析油请注明；含硫量；签约时间；是否为公式定价；公式定价备案编号；用途"
2710111000.0,"车用汽油及航空汽油","品名；馏程；"
2710112000.0,"石脑油","品名；馏程；"
2710191100.0,"航空煤油","品名；馏程；准确申报第二计量单位[标准状态（摄氏度，个大气压）下的体积]"
2710191910.0,"正构烷烃（C9-C13）","品名；成分含量；品牌；型号；包装规格；用途；外观"
2710192100.0,"轻柴油","品名；馏程；轻柴油标号（如0#柴油）；硫含量"
2710192200.0,"5-7号燃料油","品名；规格；馏程；动力粘度指标（标明温度）；硫含量签约时间；是否为公式定价；公式定价备案编号"
2710199300.0,"润滑油基础油","品名；品牌；用途；型号；包装规格；从石油或沥青提取矿物油类百分比含量；成分含量。体积数量（℃；个大气压下）"
2711110000.0,"液化天然气","品名；状态；成分含量；包装容器容积；加工方法"
2711120000.0,"液化丙烷","品名；状态；成分含量；包装容器容积；加工方法"
2711139000.0,"其他液化丁烷","品名；状态；成分含量；包装容器容积；加工方法"
2711390000.0,"其他液化石油气","品名；状态；成分含量；包装容器容积；加工方法"
2716000000.0,"电力","品名；计量的起止时间；适用的协议和补充协议"
2901220000.0,"丙烯","品名；成分含量；品牌；型号；包装规格；用途；外观"
2902200000.0,"苯","品名；成分含量；品牌；型号；包装规格；用途；外观"
2905110000.0,"甲醇","品名；成分含量；品牌；型号；包装规格；用途；外观"
2905143000.0,"叔丁醇","品名；成分含量；品牌；型号；包装规格；用途；外观"
2905310000.0,"1,2-乙二醇","品名；成分含量；品牌；型号；包装规格；用途；外观；级别"
2905450000.0,"丙三醇（甘油）","品名；成分含量；品牌；型号；包装规格；用途；外观；级别"
2922199090.0,"氨基醇","品名；成分含量；品牌；型号；包装规格；用途；外观"
3004909000.0,"未列名混合或非混合产品构成的药品","品名；成分含量；品牌；型号；包装规格（配定计量或零售包装请注明）；用途；CAS号；"
3105400000.0,"磷酸二氢铵","品名；外观；成份含量；每包重量；品牌；型号；用途"
3206111000.0,"钛白粉","品名；用途；成分含量；包装；品牌；型号；用途"
3214100000.0,"安装玻璃用油灰等;漆工用填料","品名； 用途；成分；包装；品牌；型号；用途"
3405100000.0,"鞋靴或皮革用的上光剂","品名；成分含量；品牌；规格型号；包装规格；用途"
3701100000.0,"X光感医用胶片","品名；用途；材质；成卷的请注明；一次成像的请注明；规格尺寸；品牌；型号；用途"
3701302900.0,"其他未曝光照相制版用感光硬软片","品名；用途；材质；成卷的请注明；一次成像的请注明；规格尺寸；品牌；型号；用途"
3702442100.0,"照相制版用未曝光激光照排片","品名；用途；材质；成卷的请注明；一次成像的请注明；规格尺寸；品牌；型号；用途"
3707902000.0,"碳粉","品名；成分含量；品牌；型号；包装规格；用途；"
3811210000.0,"含石油或从沥青矿物提取的油类的润滑油添加剂","品名；成分含量；品牌；型号；包装规格；用途；外观"
3814000000.0,"有机复合溶剂及稀释剂，除漆剂（指其他编号未列名的）","品名；成分含量；品牌；型号；包装规格；用途；外观"
3815120090.0,"其他以贵金属为活性物的载体催化剂","品名；具体成分含量；品牌；型号；包装规格；具体用途；外观；"
